# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
208-Escape Artist-Base Set-First Edition-BRAWL|9b9396a5c6b483b1
209-J-Cam-Base Set-First Edition-BRAWL|72cd18b5cc9865b5
21-Cheetah-Base Set-First Edition-FIRE|b5a18e3e6684c99b
21-Taze'em-Base Set-First Edition-STEEL|7cc51a368ebc6689
21-Wattage-Base Set-First Edition-FIRE|bbb68cec6098d623
210-Generator-Base Set-First Edition-BRAWL|136c7685cc36e399
211-Tattoo-Base Set-2026 Edition-BRAWL|bccd7617c78c0c31
212-Brawn-Base Set-First Edition-BRAWL|96cd6e974e3086a5
213-Cicada-Base Set-First Edition-BRAWL|99837c37869c6693
214-Courthouse-Base Set-First Edition-BRAWL|18873297c693cf27
215-Bandelero-Base Set-2026 Edition-BRAWL|3327bca7c692c989
216-Kettle-Bell-Base Set-First Edition-BRAWL|122fd88766b2c78d
217-JacHammer-Base Set-First Edition-BRAWL|13638e9d4796c633
218-BaldWing-Base Set-First Edition-BRAWL|5be18c9d7696c431
219-Rook-Base Set-First Edition-BRAWL|39a716b9e91c46b1
22-Caliber-Base Set-First Edition-FIRE|3ac64eb803fcfc03
22-Gunner-Base Set-First Edition-FIRE|346e9095ceba6e29
22-Spider-Base Set-First Edition-FIRE|d48e1e26aefa6191
220-Camera-Base Set-First Edition-BRAWL|9927669dc6344f31
221-Homestead-Base Set-First Edition-BRAWL|9bb15aa4c7968693
222-Scary-Base Set-First Edition-BRAWL|9e8d3239d9b60639
223-Canine-Base Set-First Edition-BRAWL|32a75a38cd996627
224-Superbaby-Base Set-2026 Edition-BRAWL|9ecd59b12626c999
225-Javalanche-Base Set-2026 Edition-BRAWL|328dcea76618c6a7
226-Wild Bill-Base Set-First Edition-BRAWL|98ce36b343b48e99
227-Thorn-Base Set-First Edition-BRAWL|9a37368d66b08f25
228-Chiller-Base Set-First Edition-BRAWL|996dd2b186b46999
229-Zephyr-Base Set-First Edition-BRAWL|c34d34e7c7b44c89
23-Caliber-Base Set-First Edition-ICE|33c64e3e879cd823
23-Crews-Missle-Base Set-First Edition-FIRE|b2f06cbc1d96c323
23-Marksman-Base Set-First Edition-FIRE|29464db1769dce23
230-Lumber-Base Set-First Edition-BRAWL|994d36974932669d
231-Golden Bullet-Base Set-First Edition-BRAWL|13c33285ce31e3b7
232-Ozzmosis-Base Set-First Edition-BRAWL|338cceb39b8c4693
233-DeKap-Base Set-First Edition-BRAWL|93b99893c63c2793
234-Bell-Camp-Base Set-First Edition-BRAWL|5be51eb94396a413
235-Bangford-Base Set-First Edition-BRAWL|b4071c9747b447b9
236-Forcefield-Base Set-First Edition-BRAWL|12f33c07c7b8cc87
237-Amoeba-Base Set-First Edition-BRAWL|36c532b7ce9c6033
238-Action-Base Set-2026 Edition-BRAWL|3ce7523dc4984f91
239-Go-Cart-Base Set-First Edition-BRAWL|1964e6195bb6ce19
24-Caliber-Base Set-First Edition-STEEL|0ef03f1e9cf4430b
24-D-Harp-Base Set-First Edition-FIRE|f750259c1abcce23
24-Unibrow-Base Set-First Edition-FIRE|3c0c9cb46696e3e3
240-Castler-Base Set-First Edition-BRAWL|c371a69d4da6c629
25-C.C.-Base Set-First Edition-FIRE|2aac35b49e9ec989
25-Exterminaber-Base Set-First Edition-FIRE|3d93c63c399cc683
25-Jeanetic-Base Set-First Edition-FIRE|13967ebac390d42b
26-Bomber-Base Set-First Edition-FIRE|388dceb6191ce6b1
26-C.C.-Base Set-First Edition-ICE|1aec61b49e9ee921
26-Doublecheck-Base Set-2026 Edition-FIRE|197c9c9ec6997223
27-C.C.-Base Set-First Edition-STEEL|66e13cb4cb1eec81
27-Caliber-Base Set-2026 Edition-FIRE|39e4b6716c9646a9
27-Juice-Base Set-First Edition-FIRE|d60756bc3c9cc9a1
28-Attak-Base Set-First Edition-FIRE|c66c78c74d3c6a83
28-Doublecheck-Base Set-First Edition-FIRE|d37b3ca5439ea221
28-Escape Artist-Base Set-First Edition-FIRE|c3e586b2c3b2c6a3
29-ChetMate-Base Set-First Edition-FIRE|b6a54c1d96966b19
29-Doublecheck-Base Set-First Edition-ICE|93a51ed987b4e223
29-J-Cam-Base Set-First Edition-FIRE|3b649cbce49c6683
3-Chosen-Base Set-First Edition-FIRE|c525b6ca6eb69909
3-Showtime-Base Set-First Edition-STEEL|f68d19594d3c6929
3-Victory-Base Set-2026 Edition-FIRE|8bceda3e66b444a1
30-Doublecheck-Base Set-First Edition-STEEL|26b5739ccfb60621
30-Generator-Base Set-First Edition-FIRE|7bbe3f94483ac601
30-Phoenix-Base Set-First Edition-FIRE|1fe1f862da1ca583
31-Cobra-Base Set-First Edition-FIRE|a32e1cd4873c73a3
31-Lieutenant-Base Set-First Edition-FIRE|d821c6a4ad3e0f9b
31-Tattoo-Base Set-2026 Edition-FIRE|b5dc6c9e69348623
32-Brawn-Base Set-First Edition-FIRE|eb64861fe8a86693
32-Cobra-Base Set-First Edition-ICE|c72c3c7487bc7883
32-Snowbear-Base Set-First Edition-FIRE|499896a74f16b3a9
33-Boltage-Base Set-First Edition-FIRE|535b6ce4d286c723
33-Cicada-Base Set-First Edition-FIRE|b31c64cd6c32de0d
33-Cobra-Base Set-First Edition-STEEL|b32c2cdca736d883
34-Courthouse-Base Set-First Edition-FIRE|b99c13e58699c627
34-Cruze-Control-Base Set-First Edition-FIRE|f0a4268797bcc98b
34-Librarian-Base Set-First Edition-FIRE|faac2a0a7af46585
35-Aeronaut-Base Set-First Edition-FIRE|58c3a6bc183ec3b3
35-Bandelero-Base Set-2026 Edition-FIRE|9bcca49449bee623
35-Cruze-Control-Base Set-First Edition-ICE|642986d6adfcca83
36-Cruze-Control-Base Set-First Edition-STEEL|6325dcf6879c48a3
36-Kettle-Bell-Base Set-First Edition-FIRE|a526e9c672b3cc89
36-Sabotage-Base Set-First Edition-FIRE|9aab6ab8ea368781
